SUB_ID,cohort,methods,output_type,precision,sensitivity,F1,HD95,total_pred_vol,total_raw_truth_vol
MRS_1,MRi-Share,enh270,Voxel,0.3461538461538461,0.1764705882352941,0.2337662337662337,4.69041575982343,52,128
MRS_7,MRi-Share,enh270,Voxel,0.8525641025641025,0.7916666666666666,0.8209876543209876,1,156,198
MRS_24,MRi-Share,enh270,Voxel,0.9066666666666666,0.6071428571428571,0.7272727272727273,1,150,292
MRS_25,MRi-Share,enh270,Voxel,0.5542168674698795,0.7796610169491526,0.647887323943662,1.4142135623730951,249,225
MRS_28,MRi-Share,enh270,Voxel,0.9134615384615384,0.1809523809523809,0.302066772655008,15.33780300242135,312,1798
MRS_30,MRi-Share,enh270,Voxel,0.2823529411764706,0.9230769230769232,0.4324324324324324,1.7320508075688772,85,41
MRS_35,MRi-Share,enh270,Voxel,0.6036036036036037,0.3872832369942196,0.4718309859154929,1.2485281374238548,111,240
MRS_39,MRi-Share,enh270,Voxel,0.6852791878172588,0.6221198156682027,0.6521739130434783,1,197,245
MRS_41,MRi-Share,enh270,Voxel,0.76,0.4720496894409938,0.5823754789272031,1,100,216
MRS_43,MRi-Share,enh270,Voxel,0.7297297297297297,0.5209988649262202,0.6079470198675496,4.123105625617661,629,1083
MRS_1,MRi-Share,enh270,Cluster,0.6666666666666666,0.2857142857142857,0.4,NA,NA,NA
MRS_7,MRi-Share,enh270,Cluster,1,0.3333333333333333,0.5,NA,NA,NA
MRS_24,MRi-Share,enh270,Cluster,1,0.5714285714285714,0.7272727272727273,NA,NA,NA
MRS_25,MRi-Share,enh270,Cluster,1,0.3636363636363636,0.5333333333333333,NA,NA,NA
MRS_28,MRi-Share,enh270,Cluster,1,0.6153846153846154,0.7619047619047619,NA,NA,NA
MRS_30,MRi-Share,enh270,Cluster,1,0.6666666666666666,0.8,NA,NA,NA
MRS_35,MRi-Share,enh270,Cluster,0.8571428571428571,0.48,0.6153846153846154,NA,NA,NA
MRS_39,MRi-Share,enh270,Cluster,0.8,0.8421052631578947,0.8205128205128205,NA,NA,NA
MRS_41,MRi-Share,enh270,Cluster,0.9,0.391304347826087,0.5454545454545454,NA,NA,NA
MRS_43,MRi-Share,enh270,Cluster,0.8787878787878788,0.6041666666666666,0.7160493827160493,NA,NA,NA
UKB_1,UKB,enh270,Voxel,0.6885245901639344,0.5753424657534246,0.6268656716417911,2.620011564666529,122,146
UKB_2,UKB,enh270,Voxel,0.825,0.5245664739884393,0.6413427561837456,1.4142135623730951,1320,2080
UKB_3,UKB,enh270,Voxel,0.9013221259084144,0.7125847985601551,0.7959175783817218,1.4142135623730951,11421,14446
UKB_4,UKB,enh270,Voxel,0.4294478527607362,0.7,0.532319391634981,1,163,100.00100135803224
UKB_5,UKB,enh270,Voxel,0.9393548387096774,0.4517530251318647,0.6100984705635868,3.605551275463989,3100,6462
UKB_6,UKB,enh270,Voxel,0.9604226361031518,0.7160532288931417,0.8204278320287601,1.4142135623730951,16752,22469
UKB_7,UKB,enh270,Voxel,0.8962848297213623,0.4016649323621228,0.5547305389221557,12.083045973594572,1292,2889.028929233551
UKB_8,UKB,enh270,Voxel,0.9647652932399864,0.5782486070028204,0.7230967741935483,1.4142135623730951,8713,14588.14607810974
UKB_9,UKB,enh270,Voxel,0.8846153846153846,0.3931623931623931,0.5443786982248521,3,208,468
UKB_10,UKB,enh270,Voxel,0.8015324238460101,0.657721208403619,0.7225404312668463,1.4142135623730951,5351,6532
UKB_11,UKB,enh270,Voxel,0.8311195445920304,0.6302158273381295,0.7168576104746317,2.23606797749979,527,695
UKB_1,UKB,enh270,Cluster,0.4,0.5714285714285714,0.4705882352941176,NA,NA,NA
UKB_2,UKB,enh270,Cluster,0.8082191780821918,0.7763157894736842,0.7919463087248322,NA,NA,NA
UKB_3,UKB,enh270,Cluster,0.9324324324324323,0.6634615384615384,0.7752808988764045,NA,NA,NA
UKB_4,UKB,enh270,Cluster,0.3076923076923077,0.6666666666666666,0.4210526315789473,NA,NA,NA
UKB_5,UKB,enh270,Cluster,0.8571428571428571,0.7142857142857143,0.7792207792207793,NA,NA,NA
UKB_6,UKB,enh270,Cluster,0.8823529411764706,0.6645569620253164,0.7581227436823105,NA,NA,NA
UKB_7,UKB,enh270,Cluster,0.7777777777777778,0.7368421052631579,0.7567567567567568,NA,NA,NA
UKB_8,UKB,enh270,Cluster,0.9734513274336284,0.6707317073170732,0.7942238267148014,NA,NA,NA
UKB_9,UKB,enh270,Cluster,1,0.8333333333333334,0.9090909090909092,NA,NA,NA
UKB_10,UKB,enh270,Cluster,0.8872180451127819,0.8939393939393939,0.8905660377358491,NA,NA,NA
UKB_11,UKB,enh270,Cluster,0.7916666666666666,0.6785714285714286,0.7307692307692307,NA,NA,NA
MWC_132,MWC,enh270,Voxel,0.884699202844526,0.740999591709297,0.8064984119930467,4.47213595499958,34874,43528.62387800217
MWC_31,MWC,enh270,Voxel,0.9144927998978256,0.8612798460335599,0.8870890310191566,1,62638,67968.27358531952
MWC_100,MWC,enh270,Voxel,0.6984904920603803,0.6927863114913475,0.6956267083170636,1.4142135623730951,5101,6272.115741729736
MWC_21,MWC,enh270,Voxel,0.7134470226446743,0.8731129453021426,0.7852458701128868,1.4142135623730951,28616,24854.748713493347
MWC_109,MWC,enh270,Voxel,0.6315453384418902,0.6602136181575434,0.6455613577023499,2,1566,1926.6364498138428
MWC_33,MWC,enh270,Voxel,0.6001769128704113,0.786438713416401,0.6807976922112129,2.23606797749979,4522,3945.460609436035
MWC_57,MWC,enh270,Voxel,0.7557432078044687,0.92561187126614,0.8320965553085208,1.4142135623730951,19066,15567
MWC_51,MWC,enh270,Voxel,0.8457726850418086,0.8214151439957892,0.8334159832157162,1.4142135623730951,25832,26598
MWC_62,MWC,enh270,Voxel,0.928783227516919,0.8682090915019892,0.8974752241623407,1.4142135623730951,57332,61332
MWC_54,MWC,enh270,Voxel,0.8626373626373627,0.3994910941475827,0.5460869565217391,6.324555320336759,364,786
MWC_132,MWC,enh270,Cluster,0.8611111111111112,0.5961538461538461,0.7045454545454546,NA,NA,NA
MWC_31,MWC,enh270,Cluster,0.8620689655172413,0.6818181818181818,0.7614213197969543,NA,NA,NA
MWC_100,MWC,enh270,Cluster,0.8735632183908046,0.76,0.8128342245989305,NA,NA,NA
MWC_21,MWC,enh270,Cluster,0.7744360902255639,0.8583333333333333,0.8142292490118577,NA,NA,NA
MWC_109,MWC,enh270,Cluster,0.7962962962962963,0.7818181818181819,0.7889908256880734,NA,NA,NA
MWC_33,MWC,enh270,Cluster,0.6811594202898551,0.746031746031746,0.7121212121212122,NA,NA,NA
MWC_57,MWC,enh270,Cluster,0.5223880597014925,0.875,0.6542056074766355,NA,NA,NA
MWC_51,MWC,enh270,Cluster,0.9152542372881356,0.7012987012987013,0.7941176470588235,NA,NA,NA
MWC_62,MWC,enh270,Cluster,0.8412698412698413,0.6463414634146342,0.7310344827586207,NA,NA,NA
MWC_54,MWC,enh270,Cluster,1,0.7222222222222222,0.8387096774193549,NA,NA,NA
MRS_1,MRi-Share,enh270_mono,Voxel,0.0943396226415094,0.0490196078431372,0.064516129032258,1.4142135623730951,53,128
MRS_7,MRi-Share,enh270_mono,Voxel,0.8986486486486487,0.7916666666666666,0.8417721518987342,1,148,198
MRS_24,MRi-Share,enh270_mono,Voxel,0.8939393939393939,0.5267857142857143,0.6629213483146067,1.4142135623730951,132,292
MRS_25,MRi-Share,enh270_mono,Voxel,0.574468085106383,0.7627118644067796,0.6553398058252428,1,235,225
MRS_28,MRi-Share,enh270_mono,Voxel,0.879746835443038,0.1765079365079365,0.2940243257535695,11.808876172193036,316,1798
MRS_30,MRi-Share,enh270_mono,Voxel,0.2446808510638297,0.8846153846153846,0.3833333333333333,1.7320508075688772,94,41
MRS_35,MRi-Share,enh270_mono,Voxel,0.5583333333333333,0.3872832369942196,0.4573378839590443,1.4142135623730951,120,240
MRS_39,MRi-Share,enh270_mono,Voxel,0.4907407407407407,0.488479262672811,0.4896073903002309,1.3106601717798214,216,245
MRS_41,MRi-Share,enh270_mono,Voxel,0.7954545454545454,0.4347826086956521,0.5622489959839357,1.4142135623730951,88,216
MRS_43,MRi-Share,enh270_mono,Voxel,0.7424511545293073,0.474460839954597,0.5789473684210527,3.741657386773941,563,1083
MRS_1,MRi-Share,enh270_mono,Cluster,0.3333333333333333,0.2142857142857142,0.2608695652173913,NA,NA,NA
MRS_7,MRi-Share,enh270_mono,Cluster,1,0.5,0.6666666666666666,NA,NA,NA
MRS_24,MRi-Share,enh270_mono,Cluster,1,0.5,0.6666666666666666,NA,NA,NA
MRS_25,MRi-Share,enh270_mono,Cluster,1,0.3636363636363636,0.5333333333333333,NA,NA,NA
MRS_28,MRi-Share,enh270_mono,Cluster,1,0.4615384615384615,0.631578947368421,NA,NA,NA
MRS_30,MRi-Share,enh270_mono,Cluster,1,0.6666666666666666,0.8,NA,NA,NA
MRS_35,MRi-Share,enh270_mono,Cluster,0.8461538461538461,0.44,0.5789473684210527,NA,NA,NA
MRS_39,MRi-Share,enh270_mono,Cluster,0.75,0.631578947368421,0.6857142857142857,NA,NA,NA
MRS_41,MRi-Share,enh270_mono,Cluster,0.9090909090909092,0.4347826086956521,0.5882352941176471,NA,NA,NA
MRS_43,MRi-Share,enh270_mono,Cluster,0.9230769230769232,0.5,0.6486486486486487,NA,NA,NA
UKB_1,UKB,enh270_mono,Voxel,0.6320754716981132,0.4589041095890411,0.5317460317460317,2.657905302862828,106,146
UKB_2,UKB,enh270_mono,Voxel,0.9007314524555904,0.4152215799614643,0.5684141114408177,1.4142135623730951,957,2080
UKB_3,UKB,enh270_mono,Voxel,0.965103448275862,0.4843555309428215,0.6450036873156342,2.449489742783178,7250,14446
UKB_4,UKB,enh270_mono,Voxel,0.4878048780487805,0.6,0.5381165919282511,1,123,100.00100135803224
UKB_5,UKB,enh270_mono,Voxel,0.9191011235955056,0.1903506050263729,0.3153836267831898,7.874007874011811,1335,6462
UKB_6,UKB,enh270_mono,Voxel,0.9846394677624498,0.4479060038274957,0.6157234628326705,3.1622776601683795,10221,22469
UKB_7,UKB,enh270_mono,Voxel,0.9323116219667944,0.2532084634061741,0.3982542280414621,14.815503627041185,783,2889.028929233551
UKB_8,UKB,enh270_mono,Voxel,0.9775037493751042,0.4035220471899291,0.5712338104976141,3.1622776601683795,6001,14588.14607810974
UKB_9,UKB,enh270_mono,Voxel,0.9095744680851064,0.3653846153846153,0.5213414634146342,2.8284271247461903,188,468
UKB_10,UKB,enh270_mono,Voxel,0.8720193178388168,0.4430302100904769,0.5875533862111043,2.23606797749979,3313,6532
UKB_11,UKB,enh270_mono,Voxel,0.9101941747572816,0.539568345323741,0.6775067750677507,3,412,695
UKB_1,UKB,enh270_mono,Cluster,0.6666666666666666,0.2857142857142857,0.4,NA,NA,NA
UKB_2,UKB,enh270_mono,Cluster,0.8524590163934426,0.6842105263157895,0.7591240875912408,NA,NA,NA
UKB_3,UKB,enh270_mono,Cluster,0.9523809523809524,0.5769230769230769,0.718562874251497,NA,NA,NA
UKB_4,UKB,enh270_mono,Cluster,0.75,0.5,0.6,NA,NA,NA
UKB_5,UKB,enh270_mono,Cluster,0.9473684210526316,0.6428571428571429,0.7659574468085106,NA,NA,NA
UKB_6,UKB,enh270_mono,Cluster,0.9278350515463918,0.569620253164557,0.7058823529411765,NA,NA,NA
UKB_7,UKB,enh270_mono,Cluster,0.9230769230769232,0.631578947368421,0.75,NA,NA,NA
UKB_8,UKB,enh270_mono,Cluster,1,0.6280487804878049,0.7715355805243446,NA,NA,NA
UKB_9,UKB,enh270_mono,Cluster,1,0.8333333333333334,0.9090909090909092,NA,NA,NA
UKB_10,UKB,enh270_mono,Cluster,0.8823529411764706,0.7954545454545454,0.8366533864541833,NA,NA,NA
UKB_11,UKB,enh270_mono,Cluster,0.8571428571428571,0.6428571428571429,0.7346938775510204,NA,NA,NA
MWC_132,MWC,enh270_mono,Voxel,0.8727542595627571,0.677858635348368,0.7630582891748675,7,32339,43528.62387800217
MWC_31,MWC,enh270_mono,Voxel,0.8863238578067475,0.8832320923798641,0.8847752741294131,1,66276,67968.27358531952
MWC_100,MWC,enh270_mono,Voxel,0.6780031821797932,0.6628426988139219,0.6703372333103923,1.7320508075688772,5028,6272.115741729736
MWC_21,MWC,enh270_mono,Voxel,0.6301080461157723,0.8928708891074713,0.7388219473786648,2,33134,24854.748713493347
MWC_109,MWC,enh270_mono,Voxel,0.6650141643059491,0.6268357810413885,0.6453608247422681,2,1412,1926.6364498138428
MWC_33,MWC,enh270_mono,Voxel,0.5162314749470712,0.847870182555781,0.6417370325693607,2.449489742783178,5668,3945.460609436035
MWC_57,MWC,enh270_mono,Voxel,0.898021978021978,0.7874349585661977,0.8391005236677277,1.4142135623730951,13650,15567
MWC_51,MWC,enh270_mono,Voxel,0.8997807704353272,0.7561094819159335,0.8217123945330854,2,22351,26598
MWC_62,MWC,enh270_mono,Voxel,0.9699754400327466,0.7727287549729341,0.8601894874401046,2.23606797749979,48860,61332
MWC_54,MWC,enh270_mono,Voxel,0.8753180661577609,0.4376590330788804,0.5835453774385072,5.0990195135927845,393,786
MWC_132,MWC,enh270_mono,Cluster,0.8780487804878049,0.6923076923076923,0.7741935483870968,NA,NA,NA
MWC_31,MWC,enh270_mono,Cluster,0.8674698795180723,0.6545454545454545,0.7461139896373057,NA,NA,NA
MWC_100,MWC,enh270_mono,Cluster,0.8987341772151899,0.71,0.7932960893854749,NA,NA,NA
MWC_21,MWC,enh270_mono,Cluster,0.8235294117647058,0.8166666666666667,0.8200836820083682,NA,NA,NA
MWC_109,MWC,enh270_mono,Cluster,0.8125,0.7090909090909091,0.7572815533980582,NA,NA,NA
MWC_33,MWC,enh270_mono,Cluster,0.7868852459016393,0.7619047619047619,0.7741935483870968,NA,NA,NA
MWC_57,MWC,enh270_mono,Cluster,0.8,0.6,0.6857142857142857,NA,NA,NA
MWC_51,MWC,enh270_mono,Cluster,0.9298245614035088,0.6883116883116883,0.7910447761194029,NA,NA,NA
MWC_62,MWC,enh270_mono,Cluster,0.9787234042553192,0.5609756097560976,0.7131782945736435,NA,NA,NA
MWC_54,MWC,enh270_mono,Cluster,1,1,1,NA,NA,NA
MWC_21,MWC,LST-LPA,Voxel,0.5467158031649686,0.8387096774193549,0.6619422572178477,3.1622776601683795,38129.35119,24854.748713493347
MWC_31,MWC,LST-LPA,Voxel,0.922120388707226,0.8116259272771494,0.8633521624768229,1,59823.87473,67968.27358531952
MWC_33,MWC,LST-LPA,Voxel,0.4781529294935452,0.672486033519553,0.558908879860708,3.3166247903554,5548.99294,3945.460609436035
MWC_51,MWC,LST-LPA,Voxel,0.6842329303592712,0.9064967290773742,0.7798369881622356,1.4142135623730951,35238,26598
MWC_54,MWC,LST-LPA,Voxel,1,0.049618320610687,0.0945454545454545,6.576915171081847,39,786
MWC_57,MWC,LST-LPA,Voxel,0.3889142335766423,0.9857390634033532,0.5577667520854915,10.04987562112089,39456,15567
MWC_62,MWC,LST-LPA,Voxel,0.9814473870556578,0.6779495206417531,0.8019441069258809,2.23606797749979,42366,61332
MWC_100,MWC,LST-LPA,Voxel,0.9072978303747534,0.257847533632287,0.4015713662156264,3.3166247903554,1782.49032,6272.115741729736
MWC_109,MWC,LST-LPA,Voxel,0.4883720930232558,0.2682481751824817,0.3462897526501767,3.1622776601683795,1058.24376,1926.6364498138428
MWC_132,MWC,LST-LPA,Voxel,0.687367405978785,0.8635812939181003,0.7654639175257731,2,54687.6468,43528.62387800217
MWC_21,MWC,LST-LPA,Cluster,0.7948717948717948,0.5391304347826087,0.6424870466321243,NA,NA,NA
MWC_31,MWC,LST-LPA,Cluster,0.6774193548387096,0.2019230769230769,0.3111111111111111,NA,NA,NA
MWC_33,MWC,LST-LPA,Cluster,0.6666666666666666,0.3333333333333333,0.4444444444444444,NA,NA,NA
MWC_51,MWC,LST-LPA,Cluster,0.5569620253164557,0.5714285714285714,0.5641025641025641,NA,NA,NA
MWC_54,MWC,LST-LPA,Cluster,1,0.1111111111111111,0.2,NA,NA,NA
